t[s],x[m],v[m/s],DE,Em,v0
26.70000000000011,24.578422673971097,-6.217866229091308,-0.018119459297207003,49.53587327845591,10
26.80000000000011,23.932057628387994,-6.463650455831019,-0.018304108542983883,49.526557724006466,10
26.900000000000112,23.261760525176506,-6.702971032114899,-0.018426452622027203,49.52038546521873,10
27.000000000000114,22.56820166143984,-6.935588637366664,-0.018486002280364993,49.51738118495559,10
27.100000000000115,21.852074596041735,-7.161270653981063,-0.0184825193789136,49.51755689733381,10
27.200000000000117,21.114095456047586,-7.379791399941481,-0.018416017845796103,49.52091189967959,10
27.300000000000118,20.35500222059739,-7.590932354501957,-0.018286763620643198,49.52743277533855,10
27.40000000000012,19.5755539829266,-7.794482376707931,-0.01809527359110158,49.53709344732893,10
27.50000000000012,18.77653019127288,-7.990237916537197,-0.01784231352579906,49.54985528262344,10
27.600000000000122,17.958729869427888,-8.178003218449925,-0.017528895012037075,49.56566724664273,10
27.700000000000124,17.12297081771347,-8.357590517144205,-0.017156271410451583,49.58446610734272,10
27.800000000000125,16.270088795181334,-8.52882022532134,-0.01672593284282589,49.60617668807944,10
27.900000000000126,15.400936683854018,-8.691521113273152,-0.016239600233091952,49.630712168240514,10
28.000000000000128,14.51638363584285,-8.845530480111693,-0.015699218425355807,49.6579744304408,10
28.10000000000013,13.617314204195837,-8.99069431647012,-0.015106948406466945,49.687854452893745,10
28.20000000000013,12.70462745834463,-9.126867458512079,-0.014465158664230373,49.72023274538958,10
28.300000000000132,11.779236085035077,-9.253913733095525,-0.013776415715825736,49.754979827136594,10
28.400000000000134,10.842065475640489,-9.371706093945875,-0.013043473844303566,49.79195674455489,10
28.500000000000135,9.894052800770261,-9.48012674870228,-0.012269264084207827,49.83101562695172,10
28.600000000000136,8.936146073099263,-9.579067276709981,-0.011456882500369565,49.87200027785636,10
28.700000000000138,7.969303199355165,-9.668428737440975,-0.010609577806742139,49.91474679964986,10
28.80000000000014,6.9944910224117125,-9.748121769434526,-0.00973073837479558,49.959084248991566,10
28.90000000000014,6.012684354445848,-9.818066679658644,-0.008823878683418315,50.00483532042155,10
29.000000000000142,5.024865002125537,-9.878193523203102,-0.007892625264516223,50.05181705540516,10
29.100000000000144,4.032020784803102,-9.928442173224358,-0.006940702200511167,50.099841573984214,10
29.200000000000145,3.0351445466958626,-9.96876238107239,-0.0059719162317362386,50.14871682610891,10
29.300000000000146,2.035233164041928,-9.999113826539348,-0.004990141533280595,50.198247359646,10
29.400000000000148,1.033286548223951,-10.019466158179767,-0.003999304222163816,50.24823510199184,10
29.50000000000015,0.030306645857750336,-10.029799023662006,-0.003003366656792367,50.29848015216483,10
29.60000000000015,-0.9727035631543082,-10.030102090120584,-0.0020063115914903955,50.34878158020931,10
29.700000000000152,-1.9747410686032123,-10.02037505448904,-0.0010121262494643235,50.39893823071453,10
29.800000000000153,-2.974803832983513,-10.000627643803009,-2.4786377896396883e-05,50.44874952723513,10
29.900000000000155,-3.97189179353083,-9.970879605473174,0.0009517596510666129,50.49801627439631,10
30.000000000000156,-4.965007862284617,-9.931160687537865,0.0019136066298549323,50.546541454476184,10
30.100000000000158,-5.953158923176119,-9.881510608915018,0.002856908132400353,50.5941310152796,10
30.20000000000016,-6.935356825144445,-9.821979019683257,0.003777891895994247,50.64059464615291,10
30.30000000000016,-7.910619370287626,-9.752625451431813,0.004672874906566454,50.68574653903628,10
30.400000000000162,-8.877971296060519,-9.673519257728938,0.005538278127057073,50.72940613151003,10
30.500000000000163,-9.836445250537352,-9.584739544768333,0.0063706408099875175,50.77139882886387,10
30.600000000000165,-10.785082759763648,-9.486375092262959,0.0071666343369886955,50.81155670230108,10
30.700000000000166,-11.722935186230181,-9.378524264665323,0.007923075529946515,50.849719160485805,10
30.800000000000168,-12.649064677510484,-9.261294912803022,0.008636939380529916,50.88573359174774,10
30.90000000000017,-13.562545104113276,-9.134804266027917,0.00930537114720053,50.91945597437627,10
31.00000000000017,-14.462462985611955,-8.999178814986784,0.009925697771323376,50.95075145256327,10
31.100000000000172,-15.347918404125021,-8.854554185130665,0.010495438566728684,50.979494875691465,10
31.200000000000173,-16.21802590423396,-8.701075001089414,0.011012315139975488,51.005571298811766,10
31.300000000000175,-17.071915378438668,-8.538894742047075,0.01147426050164775,51.02887644230813,10
31.400000000000176,-17.908732937264936,-8.36817558826269,0.011879427332243774,51.0493171089117,10
31.500000000000178,-18.72764176315394,-8.18908825889004,0.012226195369608192,51.066811556396736,10
31.60000000000018,-19.52782294727979,-8.001811841258501,0.012513177888359617,51.081289824467746,10
31.70000000000018,-20.30847630845836,-7.806533611785703,0.012739227245405155,51.09269401453069,10
31.800000000000182,-21.06882119332847,-7.603448848701119,0.012903439469366356,51.100978521229536,10
31.900000000000183,-21.808097257005254,-7.392760636767835,0.01300515787555954,51.10611021482198,10
32.000000000000185,-22.525565223425033,-7.174679664197782,0.013043975692078505,51.10806857366536,10
32.100000000000186,-23.220507624621387,-6.949424011963532,0.013019737686474733,51.10684576628265,10
32.20000000000019,-23.89222951819312,-6.717218935717318,0.012932540786532732,51.10244668268058,10
32.30000000000019,-24.540059182246658,-6.478296640535387,0.012782733692655382,51.09488891479447,10
32.40000000000019,-25.16334878711795,-6.23289604871292,0.012570915483411074,51.08420268613809,10
32.50000000000019,-25.761475043202125,-5.98126256084174,0.012297933219818521,51.07043073093985,10
32.60000000000019,-26.333839824243096,-5.723647810409719,0.011964878557949834,51.05362812324857,10
32.700000000000195,-26.879870765459824,-5.4603094121672875,0.011573083383397775,51.03386205669242,10
32.800000000000196,-27.399021835911093,-5.191510704512689,0.01112411448506558,51.01121157577156,10
32.9000000000002,-27.89077388452645,-4.917520486153578,0.010619767289577602,50.98576725975919,10
33.0000000000002,-28.35463515925728,-4.638612747308314,0.010062058681368613,50.95763086047505,10
33.1000000000002,-28.790141798828856,-4.355066395715741,0.009453218937162944,50.92691489537987,10
33.2000000000002,-29.1968582966016,-4.067164977727453,0.008795682807097412,50.89374219761807,10
33.3000000000002,-29.574377936077745,-3.7751963947614366,0.008092079778156331,50.85824542480799,10
33.400000000000205,-29.92232319761781,-3.479452615400659,0.007345223558852104,50.82056652854409,10
33.500000000000206,-30.24034613596026,-3.180229383424481,0.006558100827206076,50.78085618673255,10
33.60000000000021,-30.528128728166745,-2.8778259220648783,0.0057338592870223295,50.73927320103028,10
33.70000000000021,-30.785383191645067,-2.5725446347832106,0.00487579508021946,50.695983861797075,10
33.80000000000021,-31.011852271931744,-2.26469080286676,0.003987339605560881,50.65116128310055,10
33.90000000000021,-31.20730949994649,-1.9545722801474426,0.003072045796489714,50.60498471043291,10
34.00000000000021,-31.37155941846129,-1.6424991851479775,0.0021335739129483555,50.55763880390825,10
34.100000000000215,-31.504437777557623,-1.3287835909633645,0.0011756769039988379,50.509312899806744,10
34.200000000000216,-31.6058116988764,-1.0137392131877883,0.00020218539978042615,50.460200253418925,10
34.30000000000022,-31.675579808496305,-0.6976810961990242,-0.0007830076071817806,50.41049726621768,10
34.40000000000022,-31.713672338307713,-0.38092529811406106,-0.0017759623300528358,50.36040270044884,10
34.50000000000022,-31.720051195780812,-0.06378857473098387,-0.0027727079428962412,50.31011688428089,10
34.60000000000022,-31.69471000205813,0.25341193722682426,-0.003769258460005818,50.25984091069271,10
34.70000000000022,-31.637674098333388,0.5703590372474057,-0.004761628675863987,50.209775833302665,10
34.800000000000225,-31.549000520510315,0.8867357782307396,-0.005745850101977322,50.16012186235525,10
34.900000000000226,-31.428777942166732,1.2022257834358427,-0.006717986836862919,50.11107756408027,10
35.00000000000023,-31.277126585880982,1.5165135628575102,-0.007674151305717705,50.062839066626545,10
35.10000000000023,-31.09419810300935,1.82928482871632,-0.008610519806831255,50.015599275745366,10
35.20000000000023,-30.88017542203471,2.140226809746413,-0.009523347802567146,49.96954710336049,10
35.30000000000023,-30.635272565638033,2.4490285639667606,-0.010408984893770843,49.924866712109264,10
35.40000000000023,-30.35973443667572,2.755381289623141,-0.01126388941771416,49.88173677887632,10
35.500000000000234,-30.05383657327673,3.058978633989898,-0.012084642611206132,49.84032978026465,10
35.600000000000236,-29.717884873304463,3.3595169997226657,-0.012867962282225958,49.8008113028617,10
35.70000000000024,-29.352215288458893,3.65669584845571,-0.01361071593540909,49.763339381058614,10
35.80000000000024,-28.957193488324865,3.950218001340299,-0.014309933298896519,49.72806386507067,10
35.90000000000024,-28.53321449470251,4.239789936223548,-0.01496281820245191,49.695125821686304,10
36.00000000000024,-28.080702286585453,4.525122081170573,-0.015566759759345461,49.664656970141024,10
36.10000000000024,-27.60010937618181,4.805929104036427,-0.016119342807291652,49.63677915537214,10
36.200000000000244,-27.091916356401985,5.081930197798245,-0.016618357566681327,49.61160386076093,10
36.300000000000246,-26.55663142026576,5.352849361362265,-0.017061808477491974,49.58923176231053,10
36.40000000000025,-25.994789852709268,5.618415675564923,-0.017447922179530923,49.56975232604267,10
36.50000000000025,-25.406953495300066,5.878363574092016,-0.017775154604104247,49.55324345022294,10
36.60000000000025,-24.793710184395565,6.132433109045016,-0.018042197148745803,49.53977115384578,10
36.70000000000025,-24.155673163306666,6.380370210888972,-0.018247981910319407,49.52938931262439,10
36.80000000000025,-23.49348046905446,6.621926942522039,-0.01839168595556363,49.52213944354182,10
36.900000000000254,-22.807794294333203,6.856861747212584,-0.018472734612001822,49.51805053882451,10
37.000000000000256,-22.09930032531761,7.084939690155916,-0.018490803766056454,49.517138950002455,10
37.10000000000026,-21.368707055976703,7.305932693409092,-0.0184458211591805,49.51940832251935,10
37.20000000000026,-20.616745079579818,7.519619763968859,-0.018337966676819282,49.52484958115447,10
37.30000000000026,-19.84416635810335,7.725787214764657,-0.01816767162904747,49.53344096631456,10
37.40000000000026,-19.051743470268782,7.924228878345691,-0.017935617025761005,49.54514812105036,10
37.50000000000026,-18.240268838963946,8.114746313048379,-0.01764273085331847,49.559924228450086,10
37.600000000000264,-17.410553938820144,8.297149001438019,-0.01729018436352372,49.57771019886023,10
37.700000000000266,-16.56342848473752,8.47125454082622,-0.016879387389789287,49.59843490618513,10
